"Family","Type","Method","File","Line","Route"
"avatar","NLEKGNENMCO","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<NLEKGNENMCO+LOCNECLOHCA>> EPOGKGLKJHD()","NLEKGNENMCO.txt","1226","api/avatar/"
"avatar","NLEKGNENMCO","System.Collections.IEnumerator FHJKJMFABGK(BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE)","NLEKGNENMCO.txt","3101","api/avatar/"
"avatar","NLEKGNENMCO","System.Collections.IEnumerator KLHANCHHJBD(CDNNKFCCONN GKDEAOJLJFI, BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE)","NLEKGNENMCO.txt","3229","api/avatar/"
"avatar","NLEKGNENMCO","System.Void OFJLGPLDEKJ()","NLEKGNENMCO.txt","3748","api/avatar/"
"avatar","NLEKGNENMCO+LFBBKJKCJFF","System.Boolean MoveNext()","NLEKGNENMCO_NestedType_LFBBKJKCJFF.txt","147","api/avatar/"
"avatar","NLEKGNENMCO","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<NLEKGNENMCO+EPFHLDCPAOK>> KLPMNFCFOLE(System.Collections.Generic.List`1<System.String> EGLBFNGKDLD)","NLEKGNENMCO.txt","2931","api/avatar/v1/lockeditems?"
"bug-reporting","RecNet.BugReporting","RecRoom.Async.IPromise ReportBug(System.String summary, System.String description, System.Byte[] screenshotData, System.Byte[] outputLogData, System.String testCaseKey)","RecNet\BugReporting.txt","146","api/bugreporting/"
"clubs","GNPDMBPGHBH","System.String JDEIGGFCBPF(System.Int64 AOMBLGBCENO)","GNPDMBPGHBH.txt","630","{0}/club/{1}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<HPACLJHLHBG> ONCKANJNGLA(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","1167","announcements/club/{0}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Int64> AAOLBAJFCOJ(JDJGIBLMFKK+DHPONMGBFJE JMFLHIIJFKL)","JDJGIBLMFKK.txt","398","announcements/club/{0}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise HCGFMHLEDPE(System.Int64 AOMBLGBCENO, System.Int64 LOHFFDEGIMK)","JDJGIBLMFKK.txt","2462","announcements/club/{0}/{1}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise POHLPICNHJD(JDJGIBLMFKK+FOEPIDJCLMC JMFLHIIJFKL)","JDJGIBLMFKK.txt","789","announcements/club/{0}/{1}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise OFBNAHIOHON(System.Int64 AOMBLGBCENO, System.Int64 LOHFFDEGIMK)","JDJGIBLMFKK.txt","2865","announcements/club/{0}/{1}/read"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise LBOOMIDNLPP(System.Int64 AOMBLGBCENO, LCCEEFHOBEN+CJFENPHAAHI MEABFEIBEMP, System.String EFDBFLPKHKA)","JDJGIBLMFKK.txt","21791","api/clubreporting/v1/report"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise IGHDIAEPHJD(System.Int64 AOMBLGBCENO, System.String DHANCEHHIDH)","JDJGIBLMFKK.txt","13088","club/{0}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PLILLKHMNDA> NKGOFNILGPL(System.Int64 AOMBLGBCENO, System.Boolean OHLIGBELLLH = True)","JDJGIBLMFKK.txt","10425","club/{0}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> ELLIKHHEJFM(System.Int64 AOMBLGBCENO, System.Int32 EFBDCIJMFGD, System.String HFLPBHHAFIO)","JDJGIBLMFKK.txt","12298","club/{0}/additionalimage/{1}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> HELJLMINDFD(System.Int64 AOMBLGBCENO, System.Nullable`1<System.Int64> HNHLJONGKHB)","JDJGIBLMFKK.txt","12449","club/{0}/clubhouse"
"clubs","JDJGIBLMFKK+BKCHBCIJHBN","RecRoom.Async.IPromise`1<PIHMJGCGNLP> <GetClubDetailsById>b__0()","JDJGIBLMFKK_NestedType_BKCHBCIJHBN.txt","202","club/{0}/details"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> OBFKAFGALDM(System.Int64 AOMBLGBCENO, System.String HFLPBHHAFIO)","JDJGIBLMFKK.txt","12138","club/{0}/mainimage"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<MFOAODGNGKB> BIOJPNFPNCE(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","15776","club/{0}/members/{1}"
"clubs","JDGDFALBCDJ","RecRoom.Async.IPromise HHLPPOBHMOC()","JDGDFALBCDJ.txt","426","club/{0}/members/acceptinvite"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise FAOINNCBNFC(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","20586","club/{0}/members/acceptinvite"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise AGEGBKKPJNN(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","18418","club/{0}/members/acceptrequest"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise FKPIMLCILLI(System.Int64 AOMBLGBCENO, System.Collections.Generic.IEnumerable`1<System.Int32> ILNGMAANNDG)","JDJGIBLMFKK.txt","18831","club/{0}/members/acceptrequests"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise OKICAHCMPFL(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","21265","club/{0}/members/ban"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise JLBCCEIBFJJ(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD, PPGPAHNMGEC OCHEGLOFMEA)","JDJGIBLMFKK.txt","21094","club/{0}/members/changetype"
"clubs","JDGDFALBCDJ","RecRoom.Async.IPromise BDFBMBCKJEP()","JDGDFALBCDJ.txt","697","club/{0}/members/declineinvite"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise GJJBKCEMLDC(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","20675","club/{0}/members/declineinvite"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise LPCHODIHIBB(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","19048","club/{0}/members/denyrequest"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise CJBOECCIIJB(System.Int64 AOMBLGBCENO, System.Collections.Generic.IEnumerable`1<System.Int32> ILNGMAANNDG)","JDJGIBLMFKK.txt","19461","club/{0}/members/denyrequests"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise AJCDOLIBBKC(System.Int64 AOMBLGBCENO, PJCALHOPMKJ IEGCAIGJBBP, System.Int32 ENGEEKIMIGO)","JDJGIBLMFKK.txt","20450","club/{0}/members/directJoin"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise FEIADJMHICD(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD, PPGPAHNMGEC PGMGFKOCEDG)","JDJGIBLMFKK.txt","19703","club/{0}/members/invite"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise HOHPKNPHCFK(System.Int64 AOMBLGBCENO, System.Collections.Generic.List`1<System.Int32> ILNGMAANNDG, OFIEEDOMGPA NAMECJCFEDN)","JDJGIBLMFKK.txt","20070","club/{0}/members/invitemembers"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise EBADBEIGOEN(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","20745","club/{0}/members/leave"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise LDOGPIHJOLP(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","20895","club/{0}/members/remove"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise NJKBIMEEAPE(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","18249","club/{0}/members/requesttojoin"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise OGMGOBHPMFC(System.Int64 AOMBLGBCENO, System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","21435","club/{0}/members/unban"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> CKJIKPOIMFE(JDJGIBLMFKK+ACNILMIFDJJ JMFLHIIJFKL)","JDJGIBLMFKK.txt","11620","club/{0}/modify"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> KOPAANDJNKB(JDJGIBLMFKK+FHFOCPGBMPB JMFLHIIJFKL)","JDJGIBLMFKK.txt","12001","club/{0}/modifydetails"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> GHBJEDCEKLK(JHEEFBMODPG OBJEOMAGODL)","JDJGIBLMFKK.txt","13631","club/{0}/permissions/{1}"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<PLILLKHMNDA>> DIAPLKMFFKO(System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","9416","club/account/{0}/created"
"clubs","JDJGIBLMFKK","System.String JANFGLBCBMJ(System.Int32 GKLPIFBPGOD)","JDJGIBLMFKK.txt","7880","club/account/{0}/created"
"clubs","JDJGIBLMFKK","System.Void PJBLNGJKLEB(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","26175","club/account/{0}/created"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<System.String>> PAKNBFOJENP()","JDJGIBLMFKK.txt","13314","club/categoryTags"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PIHMJGCGNLP> KMPJFFBGJMD(JDJGIBLMFKK+ACNILMIFDJJ JMFLHIIJFKL)","JDJGIBLMFKK.txt","11381","club/create"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<PLILLKHMNDA> DBDOOMCNNFE()","JDJGIBLMFKK.txt","10003","club/home/me"
"clubs","JDJGIBLMFKK+<>c","System.Void <SetMyHomeClub>b__106_0()","JDJGIBLMFKK_NestedType___c.txt","995","club/home/me"
"clubs","JDJGIBLMFKK+<>c","System.Void <SetMyHomeClub>b__106_2()","JDJGIBLMFKK_NestedType___c.txt","954","club/home/me"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<PLILLKHMNDA>> LJJLGJIMJED()","JDJGIBLMFKK.txt","9275","club/mine/created"
"clubs","JDJGIBLMFKK","System.Void PJBLNGJKLEB(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","26134","club/mine/created"
"clubs","JDJGIBLMFKK","System.Void PJBLNGJKLEB(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","26326","club/mine/created"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<PLILLKHMNDA>> DFDMGNBKEKO()","JDJGIBLMFKK.txt","9817","club/mine/member"
"clubs","JDJGIBLMFKK","System.Void PJBLNGJKLEB(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","26194","club/mine/member"
"clubs","JDJGIBLMFKK","System.Void PJBLNGJKLEB(System.Int64 AOMBLGBCENO)","JDJGIBLMFKK.txt","26330","club/mine/member"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<JHMMGLNJHIB>> DDIJPHDEDDM(System.Int64 AOMBLGBCENO, System.Collections.Generic.List`1<System.Int32> ILNGMAANNDG)","JDJGIBLMFKK.txt","16847","members/bulk"
"clubs","JDJGIBLMFKK","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<JHMMGLNJHIB>> DDIJPHDEDDM(System.Int64 AOMBLGBCENO, System.Collections.Generic.List`1<System.Int32> ILNGMAANNDG)","JDJGIBLMFKK.txt","16893","members/bulk?"
"config-settings","FHLGJDFHOKL","RecRoom.Async.IPromise MCDNGDMJHBE()","FHLGJDFHOKL.txt","502","/config/{0}"
"config-settings","BBEFMHAEEEA","RecRoom.Async.IPromise BGNDHOHFJBN()","BBEFMHAEEEA.txt","950","api/config/"
"config-settings","BBEFMHAEEEA","RecRoom.Async.IPromise OHHAEMHMIFE()","BBEFMHAEEEA.txt","655","api/config/"
"config-settings","BBEFMHAEEEA","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<FPDADCNKELI>> EAJPLMPNPIJ(System.Int32 CKEBCMEKCJH)","BBEFMHAEEEA.txt","1147","api/config/"
"config-settings","BBEFMHAEEEA","RecRoom.Async.IPromise`1<System.Boolean> GMOMCLADPII()","BBEFMHAEEEA.txt","1230","api/config/v1/freegiftbutton"
"config-settings","IGCCFMFHBBN","System.Void .cctor()","IGCCFMFHBBN.txt","1921","api/gameconfigs/"
"config-settings","JFDILELKPAL","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<OHLKCDKEGMN>> HOHPJKNPEGK()","JFDILELKPAL.txt","48","api/settings/"
"config-settings","JFDILELKPAL","System.Collections.IEnumerator LHGBAFBJAHM(OHLKCDKEGMN AOKDECDAEEG, BPHGKAEDBPE+OJDJIJDNFHE<JFDILELKPAL+AMPGJPPJJBF> AFLPGGJMPOE)","JFDILELKPAL.txt","224","api/settings/"
"economy","FOEHJBDMMBH","System.Collections.IEnumerator LCELAOEOIJO(OOCCCGPICOG BAJGNABECMN, System.Int32 FKKAPHAMPMG, BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE)","FOEHJBDMMBH.txt","840","{0}v1/consume"
"economy","COFHGNFJMOG","RecRoom.Async.IPromise`1<PLDFOPCHHJG> HDLJGFEDGLH(System.String ENJEOLBEALP, System.Nullable`1<System.Int32> LNBJKLOINED)","COFHGNFJMOG.txt","1242","/consume"
"economy","COICJCJBABL","RecRoom.Async.IPromise AOJJODPOJFO()","COICJCJBABL.txt","520","api/gamerewards/v1/pending"
"economy","COICJCJBABL","RecRoom.Async.IPromise ONNNOAKDIIP(COICJCJBABL+HNJGHCGJJFC FDAEIMEHDJJ, System.Int32 IAAKEHDHCAC)","COICJCJBABL.txt","1055","api/gamerewards/v1/select"
"economy","COFHGNFJMOG","RecRoom.Async.IPromise`1<MPHABHIMOOO> LFHFLODHPJJ()","COFHGNFJMOG.txt","95","pageview/consume"
"elo","RecNet.Elo","System.Void UpdatePlayersElo(RecNet.Elo+PlayersEloUpdateDTO JFKDDPJDCDC)","RecNet\Elo.txt","141","api/PlayerElo/"
"equipment","ECINAMCDBJO","System.Void EEDJOJINECJ()","ECINAMCDBJO.txt","468","api/equipment/"
"equipment","ECINAMCDBJO+GPBDCOCADGE","System.Boolean MoveNext()","ECINAMCDBJO_NestedType_GPBDCOCADGE.txt","147","api/equipment/"
"groups","EJECIMCPGMG","RecRoom.Async.IPromise`1<OGKIDDEAFND> CCDHCLAOFOJ(System.Int64 BCNAOOIPEJO)","EJECIMCPGMG.txt","337","api/groups/"
"groups","EJECIMCPGMG","RecRoom.Async.IPromise`1<OGKIDDEAFND> PDJKECHIHNP(System.Int64 CJFGEMGOJHB)","EJECIMCPGMG.txt","555","api/groups/"
"groups","EJECIMCPGMG","System.Collections.IEnumerator JAHJIFFICHN(System.String NDNLEGKJGCD, System.String LJIGOCDPEJF, System.String HFLPBHHAFIO, BPHGKAEDBPE+OJDJIJDNFHE<EJECIMCPGMG+CreateModifyGroupResponse> AFLPGGJMPOE)","EJECIMCPGMG.txt","803","api/groups/"
"groups","EJECIMCPGMG","System.Collections.IEnumerator JELCDBGNAHK(System.Int64 BCNAOOIPEJO, BPHGKAEDBPE+OJDJIJDNFHE<OGKIDDEAFND> AFLPGGJMPOE)","EJECIMCPGMG.txt","1213","api/groups/"
"groups","EJECIMCPGMG","System.Collections.IEnumerator KBHKIILLNAC(System.Int64 BCNAOOIPEJO, BPHGKAEDBPE+OJDJIJDNFHE<EJECIMCPGMG+StatusResponse> AFLPGGJMPOE)","EJECIMCPGMG.txt","1040","api/groups/"
"groups","EJECIMCPGMG","System.Collections.IEnumerator NJFPGHDIANJ(System.String NDNLEGKJGCD, BPHGKAEDBPE+OJDJIJDNFHE<OGKIDDEAFND> AFLPGGJMPOE)","EJECIMCPGMG.txt","1336","api/groups/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise BFHNENPOEFB(System.Int64 LKNNMPCBCKM, System.Boolean JBAGLLBLEEN)","OHDHPENHDAP.txt","1571","api/images/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise FEOMMGBJFIN(System.Int64 LKNNMPCBCKM)","OHDHPENHDAP.txt","2387","api/images/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise OFEBNGPIJMB()","OHDHPENHDAP.txt","4467","api/images/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise`1<OHDHPENHDAP+OHGBAPBECNM> KIIGBNCPAGC()","OHDHPENHDAP.txt","4847","api/images/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise`1<System.Collections.Generic.List`1<OHDHPENHDAP+IBANLCLBGLM>> NAMIJGLEPMH(System.Int64 HNHLJONGKHB, OHDHPENHDAP+ALLECIACGAH ECENAMEKNEH, OHDHPENHDAP+OGDBPFGJMOO MOIMCDPIPOL, System.Nullable`1<System.Int32> KKDPFGADCEK, System.Nullable`1<System.Int32> MADNOGDODFA)","OHDHPENHDAP.txt","5403","api/images/"
"images","OHDHPENHDAP","RecRoom.Async.IPromise`1<System.String> MPNCIPABNKC(System.Byte[] IJKBAADKCBM, OHDHPENHDAP+SavedImageMetaDTO FIBFIEEBFIL)","OHDHPENHDAP.txt","787","api/images/"
"images","OHDHPENHDAP","System.Collections.IEnumerator BEPFIALDMHK(BPHGKAEDBPE+OJDJIJDNFHE<System.Collections.Generic.List`1<System.String>> AFLPGGJMPOE)","OHDHPENHDAP.txt","394","api/images/"
"images","OHDHPENHDAP","System.Collections.IEnumerator EFGBDOJHLCE(System.String HFLPBHHAFIO, OHDHPENHDAP+IMKNMFOOLGF PONCIIJOHIE, BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE = null)","OHDHPENHDAP.txt","1203","api/images/"
"images","OHDHPENHDAP","System.Collections.IEnumerator GLPDDNENLHN(System.String HFLPBHHAFIO, BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE = null)","OHDHPENHDAP.txt","1427","api/images/"
"images","OHDHPENHDAP","System.Collections.IEnumerator JPDBMCKFKLA(System.String HFLPBHHAFIO, BPHGKAEDBPE+CBEOHBCIPEA AFLPGGJMPOE = null)","OHDHPENHDAP.txt","1316","api/images/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> ANJHOOPIAKM(System.Int64 OEMDIAHHILF, System.Boolean JBAGLLBLEEN)","BBHENFCNLAB.txt","7610","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> BEPNJCGNIKA(System.Int64 OEMDIAHHILF, HECIICKPCDN AEHDODIANMG, System.Nullable`1<System.Int32> MACNIENMFHJ = null)","BBHENFCNLAB.txt","6169","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> HDFICFBNFOK(System.Int64 OEMDIAHHILF, System.Int32 MACNIENMFHJ)","BBHENFCNLAB.txt","6479","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> HELBOGAPCKE(OBBBPCBIMME LDNFNNNHPPB)","BBHENFCNLAB.txt","5990","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> MEIJBGBINLO(System.Int64 OEMDIAHHILF)","BBHENFCNLAB.txt","6327","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> NNDFHPLBNEN(System.Int64 OEMDIAHHILF, System.String LJIGOCDPEJF)","BBHENFCNLAB.txt","1731","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> OCBDPGLHIJL(System.Int64 OEMDIAHHILF, HECIICKPCDN ODABIMLCOIP)","BBHENFCNLAB.txt","2123","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> ONLOPCCOFMM(System.Int64 OEMDIAHHILF, System.String DLFBBIAHDMO)","BBHENFCNLAB.txt","1927","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<AHEPPAEOLOD> PONHAAALIGM(System.Int64 OEMDIAHHILF, System.String MMBOKOLAJFH)","BBHENFCNLAB.txt","1533","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<HJPDBNLCGIB> IIPHPOBADGF(System.Int64 OEMDIAHHILF)","BBHENFCNLAB.txt","3629","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<KLAMKCBENEA> BGDGKHPGEHK(System.Int64 OEMDIAHHILF, FDEGHHFBJJO MEABFEIBEMP, System.String EFDBFLPKHKA)","BBHENFCNLAB.txt","7417","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<NJMAEIPIOAP> LGFHMMCICNF(System.Int64 OEMDIAHHILF, System.Collections.Generic.List`1<System.String> LBAOCHFCLPO, System.Collections.Generic.List`1<System.String> NOLONFFJNPA)","BBHENFCNLAB.txt","2353","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<OBBBPCBIMME> FDEMGICNKPI(System.Int64 OEMDIAHHILF)","BBHENFCNLAB.txt","3127","api/inventions/"
"inventions","BBHENFCNLAB","RecRoom.Async.IPromise`1<OEGPIPBKHCN> IGFBODDECPK(System.Int64 OEMDIAHHILF)","BBHENFCNLAB.txt","5821","api/inventions/"
