"Build","Type","Method","File","Line","String"
"2020.12.18 ISIL","KELEPAPMOGK+CJACMOFOFKJ","RecRoom.Async.IPromise`1<KELEPAPMOGK+LEKKFHBPBAB> <GetData>b__0()","KELEPAPMOGK_NestedType_CJACMOFOFKJ.txt","187","/data/{0}"
"2020.12.18 ISIL","BBHENFCNLAB+NBDMFFEGNGJ","RecRoom.Async.IPromise`1<System.Byte[]> <GetInventionData>b__0()","BBHENFCNLAB_NestedType_NBDMFFEGNGJ.txt","207","/invention/{0}"
"2020.12.18 ISIL","OJMCBOKJFOF+BPPECKDOINI","RecRoom.Async.IPromise`1<System.Byte[]> <GetRoomData>b__0()","OJMCBOKJFOF_NestedType_BPPECKDOINI.txt","206","/room/"
"2020.12.18 ISIL","KHGPLGBHIAH","System.Void PPOCPFGCALB(LGFHFDMDJKK GIGKODMKKHJ, System.Action`2<System.Single, System.Single> DFPGDEOCNIH, System.Action`2<System.Boolean, LGFHFDMDJKK> AFLPGGJMPOE)","KHGPLGBHIAH.txt","2838","{0}/api/userreporting"
"2020.12.18 ISIL","AGUI.StackedUI.StorePurchaseSkuScreen","System.Void CMCFMHIDHKC(System.String MOPOMPHBHKF)","AGUI\StackedUI\StorePurchaseSkuScreen.txt","2276","An error occurred while trying to process your purchase. If this persists, please contact us at tokens@recroom.com."
"2020.12.18 ISIL","BPHGKAEDBPE","System.Void HKHMDLBEHII(NEBIGEDJGPP NAEOJENNACH, HOOILIHKMEG MAOOLFEBOOD, RecRoom.Async.Promise MCINMMCGJML)","BPHGKAEDBPE.txt","3896","http://www.google.com/generate_204"
"2020.12.18 ISIL","AmplitudeAnalytics.AmplitudeAnalyticsClient","RecRoom.Async.IPromise LogOutOfSessionEvent(CCNBJFOPLBG EMGIIALFJEK)","AmplitudeAnalytics\AmplitudeAnalyticsClient.txt","3409","https://api2.amplitude.com/httpapi"
"2020.12.18 ISIL","IOSPlatformManager","RecRoom.Async.IPromise ShowManageSubscriptionPlatformUI()","IOSPlatformManager.txt","4865","https://apps.apple.com/account/subscriptions"
"2020.12.18 ISIL","AGUI.StackedUI.MembershipBenefitsScreen","System.Void Button_Details()","AGUI\StackedUI\MembershipBenefitsScreen.txt","3840","https://recroom.com/recroomplus"
"2020.12.18 ISIL","FeaturedCreatorBulletinBoardUI","System.Void Button_HowToBuild()","FeaturedCreatorBulletinBoardUI.txt","1096","https://recroom.happyfox.com/kb/article/43-custom-rooms-tools-and-tutorials"
"2020.12.18 ISIL","SettingsWatchUIFlow","System.Void Button_iOSGamepadInstructionsPage()","SettingsWatchUIFlow.txt","11647","https://support.apple.com/en-us/HT210414"
"2020.12.18 ISIL","PDEDCLFAOKJ","KHGPLGBHIAH KEABPBDEIHL()","PDEDCLFAOKJ.txt","98","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF()","PDEDCLFAOKJ.txt","590","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(GFHAIDKLNFD FPMCLJDEGKL)","PDEDCLFAOKJ.txt","842","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(GFHAIDKLNFD FPMCLJDEGKL, MKFJEECKPEM EODOKLCLHJJ)","PDEDCLFAOKJ.txt","775","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(MKFJEECKPEM EODOKLCLHJJ)","PDEDCLFAOKJ.txt","668","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(System.String IPNNGIACMAE)","PDEDCLFAOKJ.txt","502","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(System.String IPNNGIACMAE, GFHAIDKLNFD FPMCLJDEGKL, MKFJEECKPEM EODOKLCLHJJ)","PDEDCLFAOKJ.txt","722","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","PDEDCLFAOKJ","System.Void DBHENALNJLF(System.String IPNNGIACMAE, MKFJEECKPEM EODOKLCLHJJ)","PDEDCLFAOKJ.txt","418","https://userreporting.cloud.unity3d.com"
"2020.12.18 ISIL","UserReportingScript","System.Void Start()","UserReportingScript.txt","1174","https://userreporting.cloud.unity3d.com/api/userreporting/projects/{0}/ping"
"2020.12.18 ISIL","InstagramBulletinBoardUI","System.Void Button_RecRoomOnInstagram()","InstagramBulletinBoardUI.txt","1009","https://www.instagram.com/recroom/"
"2020.12.18 ISIL","InstagramBulletinBoardUI","System.Void Button_ShareYourStuff()","InstagramBulletinBoardUI.txt","1052","https://www.recroom.com/community/"
"2020.12.18 ISIL","EJDCNGBEICB","RecRoom.Async.IPromise`1<BMFAGMFKODA> JBMCPFHGIMD(System.Int64 DDMPFMPILCE, System.Int64 HNHLJONGKHB)","EJDCNGBEICB.txt","7765","playlists/{0}/rooms/{1}"
"2020.12.18 ISIL","EJDCNGBEICB","RecRoom.Async.IPromise`1<BMFAGMFKODA> NLOEBFMNCFM(System.Int64 DDMPFMPILCE, System.Int64 HNHLJONGKHB)","EJDCNGBEICB.txt","7679","playlists/{0}/rooms/{1}"
"2020.12.18 ISIL","RecRoom.UI.BanDetailsBulletinBoardUI","System.Void KEFHKHKHABK(System.String KCDNNDGKINC)","RecRoom\UI\BanDetailsBulletinBoardUI.txt","898","Rec.Net ban appeal"
"2020.12.18 ISIL","EJDCNGBEICB","RecRoom.Async.IPromise`1<PPENFJMFPNE> HOPMJFDKPDL(System.Int64 HNHLJONGKHB, System.Int64 FODGKNJIGOP, System.String MEIIMAIGBJD, System.Collections.Generic.Dictionary`2<System.Int64, System.Int32> PNOBBNPJDLI, System.Int32 OMCLBIFCHLF)","EJDCNGBEICB.txt","5995","rooms/{0}/subrooms/{1}/data"
